Grouped by Parameter and Type:
Type: "Library | None", Count: 6
Type: "str | OpOverload[..., Any] | Any", Count: 6
Type: "IterDataPipe[Unknown] | MapDataPipe[Unknown]", Count: 6
Type: "Stream", Count: 6
Type: "ScriptObject | FakeScriptObject", Count: 6
Type: "tuple[Argument, ...] | Sequence[Argument] | Mapping[str, Argument] | slice[Any, Any, Any] | range | Node | str | int | float | bool | complex | dtype | Tensor | device | memory_format | layout | OpOverload[..., Any] | SymInt | SymBool | SymFloat | None", Count: 6
Type: "Proxy", Count: 6
Type: "ExportedProgram", Count: 6
Type: "dict[(...) -> Unknown, Any] | None", Count: 6
Type: "Tensor | Sequence[Tensor] | None", Count: 6
Type: "bool | Unknown", Count: 6
Type: "QuantizationConfig", Count: 5
Type: "Module | ((...) -> Unknown)", Count: 5
Type: "dict[str, set[((...) -> Unknown) | str]]", Count: 5
Type: "QConfigMapping | dict[str, Any] | None", Count: 5
Type: "Node | None", Count: 5
Type: "Partition", Count: 5
Type: "tuple[Unknown, ...]", Count: 4
Type: "Tensor | int | float | bool | SymInt | SymFloat", Count: 4
Type: "str | device | int", Count: 4
Type: "dict[((...) -> Unknown) | tuple[(...) -> Unknown, (...) -> Unknown] | tuple[(...) -> Unknown, tuple[(...) -> Unknown, (...) -> Unknown]] | Any, Sequential | ((...) -> Unknown)]", Count: 4
Type: "Tensor | Sequence[Tensor]", Count: 4
Type: "WriteItem", Count: 4
Type: "LoadPlanner", Count: 4
Type: "Optimizer | Iterable[Optimizer]", Count: 4
Type: "dict[int, tuple[Unknown, ...]]", Count: 4
Type: "_BatchNorm", Count: 4
Type: "type[DataChunk[Unknown]]", Count: 4
Type: "ShardingSpec", Count: 4
Type: "((...) -> Unknown) | GraphModule", Count: 4
Type: "SymInt | SymFloat | SymBool | int | float | bool | Any | Tensor | Sequence[SymInt | SymFloat | SymBool | int | float | bool | Any | Tensor]", Count: 4
Type: "OperatorSupportBase", Count: 4
Type: "Module | None", Count: 4
Type: "Event", Count: 3
Type: "((Storage, str) -> Storage) | device | str | dict[str, str] | None", Count: 3
Type: "Module | ((...) -> Any)", Count: 3
Type: "BackendConfig | None", Count: 3
Type: "ConvertCustomConfig | dict[str, Any] | None", Count: 3
Type: "QConfigMapping | dict[str, Any]", Count: 3
Type: "PrepareCustomConfig | dict[str, Any] | None", Count: 3
Type: "_SDPAParams", Count: 3
Type: "Metadata | None", Count: 3
Type: "SavePlanner", Count: 3
Type: "WorkerSpec", Count: 3
Type: "MetricData", Count: 3
Type: "PipeInfo", Count: 3
Type: "Mapping[OpOverload[..., Any], (...) -> Unknown] | None", Count: 3
Type: "MetaTensorDesc[Unknown]", Count: 3
Type: "MetaStorageDesc", Count: 3
Type: "_LazyProtocol", Count: 3
Type: "Module | ScriptModule", Count: 3
Type: "Tensor | Any", Count: 3
Type: "Storage | TypedStorage | UntypedStorage", Count: 3
Type: "Tensor | list[Tensor]", Count: 3
Type: "((...) -> Unknown) | tuple[(...) -> Unknown, (...) -> Unknown] | tuple[(...) -> Unknown, tuple[(...) -> Unknown, (...) -> Unknown]] | Any", Count: 3
Type: "ScriptObject", Count: 3
Type: "tuple[Unknown, ...] | None", Count: 3
Type: "DeviceMesh", Count: 3
Type: "SymInt", Count: 3
Type: "UntypedStorage", Count: 3
Type: "int | device", Count: 3
Type: "Tensor | Iterable[Tensor]", Count: 3
Type: "MapDataPipe[Unknown]", Count: 3
Type: "dict[Unknown, Unknown]", Count: 3
Type: "dict[str, set[((...) -> Unknown) | str]] | None", Count: 3
Type: "Tensor | Sequence[Tensor] | GradientEdge | Sequence[GradientEdge]", Count: 3
Type: "BinConstraintT", Count: 3
Type: "SupportsIndex | bool | int | slice[Any, Any, Any] | EllipsisType | Tensor | _NestedSequence[bool | int | slice[Any, Any, Any] | EllipsisType | Tensor | None] | tuple[SupportsIndex | bool | int | slice[Any, Any, Any] | EllipsisType | Tensor | _NestedSequence[bool | int | slice[Any, Any, Any] | EllipsisType | Tensor | None] | None, ...] | None", Count: 2
Type: "device | int | str | None", Count: 2
Type: "Block | Node", Count: 2
Type: "CompilationUnit", Count: 2
Type: "float | Tensor | None", Count: 2
Type: "type[TorchDispatchMode] | type[Tensor] | TransformType | DispatchKey", Count: 2
Type: "dict[str, str | int | bool | ((...) -> Unknown)] | None", Count: 2
Type: "int | tuple[Unknown, ...]", Count: 2
Type: "Parameter | None", Count: 2
Type: "PackageExporter", Count: 2
Type: "QConfigMapping | None", Count: 2
Type: "FuseCustomConfig", Count: 2
Type: "FuseCustomConfig | dict[str, Any] | None", Count: 2
Type: "dict[str, tuple[Node, list[Node], ((...) -> Unknown) | tuple[(...) -> Unknown, (...) -> Unknown] | tuple[(...) -> Unknown, tuple[(...) -> Unknown, (...) -> Unknown]] | Any | None, QuantizeHandler, QConfig | None]]", Count: 2
Type: "PrepareCustomConfig", Count: 2
Type: "Quantizer", Count: 2
Type: "_CudaStreamBase", Count: 2
Type: "_CUDAAllocator", Count: 2
Type: "MemPool", Count: 2
Type: "DistributedDataParallel", Count: 2
Type: "ZeroRedundancyOptimizer", Count: 2
Type: "PowerSGDState", Count: 2
Type: "StorageMeta | None", Count: 2
Type: "StorageReader", Count: 2
Type: "LoadPlanner | None", Count: 2
Type: "MetricHandler", Count: 2
Type: "Queue[Unknown]", Count: 2
Type: "Iterable[Dataset[Unknown]]", Count: 2
Type: "LaunchConfig", Count: 2
Type: "DTensor", Count: 2
Type: "Any | tuple[Unknown, ...] | None", Count: 2
Type: "list[Future[Unknown]]", Count: 2
Type: "SymInt | SymFloat | SymBool | ScriptObject | FakeScriptObject | BackwardState | list[_ExtractValType] | tuple[_ExtractValType, ...] | dict[str, _ExtractValType] | Tensor | int | float | bool | None", Count: 2
Type: "ProxyTorchDispatchMode", Count: 2
Type: "ShapeEnv", Count: 2
Type: "StrictMinMaxConstraint | RelaxedUnspecConstraint | None", Count: 2
Type: "StatelessSymbolicContext[..., Unknown] | None", Count: 2
Type: "float | SymFloat", Count: 2
Type: "device | str", Count: 2
Type: "type[Tensor] | None", Count: 2
Type: "FakeTensorMode", Count: 2
Type: "PackageImporter", Count: 2
Type: "Library", Count: 2
Type: "Tensor | Value", Count: 2
Type: "_ITraceObserver | None", Count: 2
Type: "list[((...) -> Unknown) | tuple[(...) -> Unknown, str]]", Count: 2
Type: "Module | ((...) -> Unknown) | None", Count: 2
Type: "((...) -> Any) | dict[str | Any, ((...) -> Unknown) | Any] | None", Count: 2
Type: "Dataset[_T@random_split]", Count: 2
Type: "dict[str, list[Unknown]]", Count: 2
Type: "GeneratedFileCleaner", Count: 2
Type: "Graph | None", Count: 2
Type: "Tensor | tuple[Tensor, ...] | None", Count: 2
Type: "SymInt | int", Count: 2
Type: "list[Unknown]", Count: 2
Type: "Tensor | MaskedTensor", Count: 2
Type: "int | Tensor", Count: 2
Type: "PackedSequence", Count: 2
Type: "Tensor | float | int | bool", Count: 2
Type: "Dataset[_T_co@__init__]", Count: 2
Type: "Event | None", Count: 1
Type: "Future[Unknown]", Count: 1
Type: "PyTorchFileWriter", Count: 1
Type: "Storage | bytes | int", Count: 1
Type: "type[Tensor] | str", Count: 1
Type: "bool | int | float | Tensor", Count: 1
Type: "tuple[Unknown, ...] | list[Unknown]", Count: 1
Type: "Tensor | Module", Count: 1
Type: "int | str | device | None", Count: 1
Type: "LSTM", Count: 1
Type: "Linear", Count: 1
Type: "type[Tracer] | None", Count: 1
Type: "tuple[(...) -> Unknown, ...]", Count: 1
Type: "CodeGen", Count: 1
Type: "QConfigMapping", Count: 1
Type: "tuple[((...) -> Unknown) | str | tuple[str, Any], ((...) -> Unknown) | str | tuple[str, Any]] | tuple[((...) -> Unknown) | str | tuple[str, Any], ((...) -> Unknown) | str | tuple[str, Any], ((...) -> Unknown) | str | tuple[str, Any], ((...) -> Unknown) | str | tuple[str, Any]]", Count: 1
Type: "dict[str, dict[(...) -> Unknown, (...) -> Unknown]] | None", Count: 1
Type: "BaseSparsifier", Count: 1
Type: "ExportGraphSignature", Count: 1
Type: "dict[OperatorBase, (...) -> Unknown] | None", Count: 1
Type: "BackendPatternConfig", Count: 1
Type: "((...) -> Unknown) | tuple[(...) -> Unknown, (...) -> Unknown] | tuple[(...) -> Unknown, tuple[(...) -> Unknown, (...) -> Unknown]] | Any | None", Count: 1
Type: "list[(...) -> Unknown]", Count: 1
Type: "type[Module] | None", Count: 1
Type: "ExportedProgram | GraphModule", Count: 1
Type: "GraphModule | Module", Count: 1
Type: "OpOverloadPacket[..., Any]", Count: 1
Type: "_FunctionBase | None", Count: 1
Type: "Tensor | Sequence[Tensor] | GradientEdge | Sequence[GradientEdge] | None", Count: 1
Type: "AllreduceOptions", Count: 1
Type: "Backend", Count: 1
Type: "Reducer", Count: 1
Type: "type[Optimizer]", Count: 1
Type: "PostLocalSGDState", Count: 1
Type: "Joinable", Count: 1
Type: "TensorStorageMetadata", Count: 1
Type: "Tensor | _Buffer | _SupportsArray[dtype[Any]] | _NestedSequence[_SupportsArray[dtype[Any]]] | complex | bytes | str | _NestedSequence[complex | bytes | str]", Count: 1
Type: "ProcessGroup | list[ProcessGroup]", Count: 1
Type: "Tensor | _Buffer | _SupportsArray[dtype[Any]] | _NestedSequence[_SupportsArray[dtype[Any]]] | complex | bytes | str | _NestedSequence[complex | bytes | str] | None", Count: 1
Type: "TensorProperties", Count: 1
Type: "StorageWriter", Count: 1
Type: "SavePlanner | None", Count: 1
Type: "RendezvousStoreInfo", Count: 1
Type: "RdzvEvent", Count: 1
Type: "ErrorHandler | None", Count: 1
Type: "EtcdRendezvous", Count: 1
Type: "TimerClient", Count: 1
Type: "Dataset[T@ElasticDistributedSampler]", Count: 1
Type: "Dataset[Unknown]", Count: 1
Type: "AllGather", Count: 1
Type: "ReduceScatter", Count: 1
Type: "ProcessGroup | tuple[ProcessGroup, ProcessGroup] | None", Count: 1
Type: "((...) -> Unknown) | ModuleWrapPolicy | CustomPolicy | None", Count: 1
Type: "ModelAverager", Count: 1
Type: "_PipelineStageBase", Count: 1
Type: "((...) -> Unknown) | _Loss | None", Count: 1
Type: "OpOverload[..., Any] | list[OpOverload[..., Any]]", Count: 1
Type: "Transform | list[Transform]", Count: 1
Type: "Categorical", Count: 1
Type: "Transform", Count: 1
Type: "int | float | Any | bool | Unknown", Count: 1
Type: "device | str | dict[str, str]", Count: 1
Type: "Sequence[Module] | ModuleList", Count: 1
Type: "Module | GraphModule", Count: 1
Type: "TGreatestUpperBound", Count: 1
Type: "MklSubgraph", Count: 1
Type: "type[Tracer]", Count: 1
Type: "_ProxyTensor", Count: 1
Type: "Proxy | Sequence[_NestedProxys] | Mapping[object, _NestedProxys]", Count: 1
Type: "Tensor | Sequence[Tensor | ... | Mapping[object, _NestedTensors]] | Mapping[object, Tensor | Sequence[_NestedTensors] | ...] | None", Count: 1
Type: "OpOverload[..., Any] | ((...) -> Unknown)", Count: 1
Type: "int | SymInt | float | SymFloat", Count: 1
Type: "EqualityConstraint | None", Count: 1
Type: "SymInt | SymFloat | SymBool | int | float | bool", Count: 1
Type: "SymBool | SymFloat | SymInt | bool | float | int", Count: 1
Type: "SymBool | bool", Count: 1
Type: "Tensor | tuple[Tensor, ...]", Count: 1
Type: "SymBool | SymInt | SymFloat | int | bool | float", Count: 1
Type: "FakeTensorConverter", Count: 1
Type: "_MetaTensorCallback[_TensorT@MetaConverter]", Count: 1
Type: "_MetaTensorCallback[_TensorT@MetaConverter] | None", Count: 1
Type: "SymInt | SymFloat | None", Count: 1
Type: "int | SymInt | float | SymFloat | bool | SymBool", Count: 1
Type: "FakeTensorMode | None", Count: 1
Type: "type[GraphModule]", Count: 1
Type: "FusionGroup", Count: 1
Type: "TracerBase | None", Count: 1
Type: "TracerBase", Count: 1
Type: "((...) -> Unknown) | Graph | GraphModule", Count: 1
Type: "((...) -> Unknown) | Graph | GraphModule | None", Count: 1
Type: "OpOverload[..., Any] | OpOverloadPacket[..., Any] | CustomOpDef", Count: 1
Type: "SummaryWriter", Count: 1
Type: "device | str | int", Count: 1
Type: "Tensor | list[Tensor] | tuple[Tensor, ...]", Count: 1
Type: "TransformerEncoderLayer", Count: 1
Type: "TransformerDecoderLayer", Count: 1
Type: "BlockMask | None", Count: 1
Type: "Tensor | list[Any] | tuple[Any, ...] | dict[Any, Any]", Count: 1
Type: "Tensor | Parameter", Count: 1
Type: "Tensor | list[int]", Count: 1
Type: "ExportedProgram | None", Count: 1
Type: "Value | Tensor | None", Count: 1
Type: "Module | ExportedProgram | ScriptModule | ScriptFunction[..., Unknown]", Count: 1
Type: "dict[(...) -> Unknown, ((...) -> Unknown) | Sequence[(...) -> Unknown]] | None", Count: 1
Type: "Value | None", Count: 1
Type: "Module | ScriptModule | ScriptFunction[..., Unknown]", Count: 1
Type: "tuple[Any, ...] | Tensor", Count: 1
Type: "ONNXProgram", Count: 1
Type: "Tensor | tuple[Any, ...]", Count: 1
Type: "GraphInfo | None", Count: 1
Type: "PackagingError", Count: 1
Type: "DiGraph", Count: 1
Type: "list[(...) -> Unknown] | None", Count: 1
Type: "Sequence[tuple[Any, ...]] | dict[(...) -> Unknown, Sequence[tuple[Any, ...]] | None] | None", Count: 1
Type: "list[str] | dict[(...) -> Unknown, list[str]] | None", Count: 1
Type: "dict[(...) -> Unknown, Sequence[tuple[Any, ...]] | None]", Count: 1
Type: "dict[(...) -> Unknown, list[str]] | None", Count: 1
Type: "Dataset[_T_co@DataLoader]", Count: 1
Type: "Sampler[Unknown] | Iterable[Unknown] | None", Count: 1
Type: "Sampler[list[Unknown]] | Iterable[list[Unknown]] | None", Count: 1
Type: "((list[Unknown]) -> Any) | None", Count: 1
Type: "DataLoader[Unknown]", Count: 1
Type: "Dataset[_T_co@IterableDataset]", Count: 1
Type: "type[IterDataPipe[Unknown]] | (() -> bool)", Count: 1
Type: "Dataset[_T_co@Subset]", Count: 1
Type: "type[Sampler[Unknown]]", Count: 1
Type: "dict[Unknown, Unknown] | None", Count: 1
Type: "IterDataPipe[_T_co@ShufflerIterDataPipe]", Count: 1
Type: "str | Sequence[str] | IterDataPipe[Unknown]", Count: 1
Type: "IterDataPipe[_T_co@__init__]", Count: 1
Type: "IterDataPipe[_T_co@FilterIterDataPipe]", Count: 1
Type: "IterDataPipe[tuple[str, IOBase]]", Count: 1
Type: "MapDataPipe[_T_co@ShufflerIterDataPipe]", Count: 1
Type: "MapDataPipe[_T_co@ZipperMapDataPipe]", Count: 1
Type: "MapDataPipe[_T@__init__]", Count: 1
Type: "int | tuple[Unknown, ...] | list[Unknown] | None", Count: 1
Type: "dict[int, tuple[IterDataPipe[Unknown] | MapDataPipe[Unknown], DataPipeGraph]]", Count: 1
Type: "Generator", Count: 1
Type: "Module | list[Module] | None", Count: 1
Type: "GeneratedFileCleaner | None", Count: 1
Type: "TensorType", Count: 1
Type: "_XpuStreamBase", Count: 1
